"id";"id_orcamento";"id_produto";"description";"cores";"quantidade";"prazo";"desconto";"unitario";"total";"comissao_externa"
"1";"1";"74";"Trena de 5 metros";"1";"50";"15 dias úteis";"0";"9.24";"462.00";"0.00"
"2";"2";"57";"Caneta Ecológica";"2";"500";"15 dias úteis";"0";"1.09";"547.00";"0.00"
"3";"2";"57";"Caneta Ecológica";"3";"500";"15 dias úteis";"0";"1.24";"621.00";"0.00"
"4";"3";"8";"Chaveiro abridor long neck";"2";"100";"15 dias úteis";"0";"2.72";"271.80";"0.00"
"5";"3";"8";"Chaveiro abridor long neck";"2";"300";"15 dias úteis";"0";"1.73";"519.44";"0.00"
"6";"4";"101";"Pen drive c/ tampa 2gb";"1";"80";"10 dias úteis";"0";"28.35";"2268.00";"0.00"
"7";"4";"86";"Porta cartão de metal";"1";"200";"10 dias úteis";"0";"5.25";"1050.00";"0.00"
"8";"4";"88";"Porta recado flexivel";"1";"200";"-- RETIRADO --";"0";"10.38";"2076.00";"0.00"
"9";"4";"28";"Caneta de metal";"1";"700";"10 dias úteis";"0";"8.40";"5880.00";"0.00"
"10";"4";"113";"Squeeze de metal";"1";"700";"10 dias úteis";"0";"10.65";"7455.00";"0.00"
"11";"5";"8";"Chaveiro abridor long neck";"2";"1000";"15 dias úteis";"0";"1.81";"1808.83";"0.00"
"12";"5";"9";"Chaveiro Abridor Cortador";"2";"3000";"15 dias úteis";"0";"1.63";"4904.48";"0.00"
"13";"5";"10";"Chaveiro de metal Oval";"2";"5000";"10 dias úteis";"0";"1.60";"7983.33";"0.00"
"14";"5";"11";"Chaveiro emborrachado";"1";"1000";"30 dias úteis";"0";"1.62";"1615.63";"0.00"
"15";"5";"12";"Chaveiro de Couro com mosquetão";"1";"3000";"30 à 40 dias úteis";"0";"1.51";"4524.00";"0.00"
"16";"5";"13";"Chaveiro de metal com couro";"1";"5000";"10 dias úteis";"0";"1.49";"7467.72";"0.00"
"17";"6";"100";"Pen drive giratório 2gb";"1";"25";"10 dias úteis";"0";"33.80";"845.00";"0.00"
"18";"7";"94";"Porta bloco de rascunho";"1";"100";"10 dias úteis";"0";"4.41";"441.00";"0.00"
"19";"8";"113";"Squeeze de metal";"1";"1000";"10 dias úteis";"0";"10.63";"10630.00";"0.00"
"20";"9";"113";"Squeeze de metal";"1";"50";"10 dias úteis";"0";"14.33";"716.50";"0.00"
"21";"9";"100";"Pen drive giratório 2gb";"1";"25";"10 dias úteis";"0";"34.89";"872.25";"0.00"
"22";"9";"35";"Caneta de metal";"1";"50";"10 dias úteis";"0";"14.36";"718.00";"0.00"
"23";"10";"100";"Pen drive giratório 2gb";"1";"300";"10 dias úteis";"0";"28.27";"8481.00";"0.00"
"24";"10";"101";"Pen drive c/ tampa 2gb";"1";"300";"10 dias úteis";"0";"25.93";"7779.00";"0.00"
"25";"11";"41";"Caneta de Plástico";"1";"1500";"15 dias úteis";"0";"0.85";"1275.00";"0.00"
"26";"12";"74";"Trena de 5 metros";"1";"400";"15 dias úteis";"0";"7.06";"2823.60";"0.00"
"27";"13";"8";"Chaveiro abridor long neck";"2";"1000";"15 dias úteis";"0";"1.81";"1808.83";"0.00"
"28";"13";"8";"Chaveiro abridor long neck";"1";"1000";"15 dias úteis";"0";"1.62";"1615.63";"0.00"
"29";"14";"101";"Pen drive c/ tampa 2gb";"1";"150";"10 dias úteis";"0";"26.62";"3993.00";"0.00"
"30";"15";"8";"Chaveiro abridor long neck";"1";"100";"15 dias úteis";"0";"2.66";"265.65";"0.00"
"31";"16";"3";"Chaveiro redondo giratório";"1";"100";"10 dias úteis";"0";"5.07";"507.00";"0.00"
"32";"16";"3";"Chaveiro redondo giratório";"1";"50";"10 dias úteis";"0";"7.16";"358.00";"0.00"
"33";"16";"34";"Caneta de metal";"1";"100";"10 dias úteis";"0";"6.90";"690.00";"0.00"
"34";"16";"34";"Caneta de metal";"1";"50";"10 dias úteis";"0";"7.10";"355.00";"0.00"
"35";"17";"90";"Porta objeto e clips com furinho";"1";"150";"15 dias úteis";"0";"18.36";"2754.00";"0.00"
"36";"17";"116";"ME011";"1";"150";"15 dias úteis";"0";"11.02";"1653.00";"0.00"
"37";"17";"91";"Porta objeto couro quadrado";"1";"150";"10 dias úteis";"0";"18.82";"2823.00";"0.00"
"38";"17";"100";"Pen drive giratório 2gb";"1";"150";"10 dias úteis";"0";"28.96";"4344.00";"0.00"
"39";"17";"56";"Caneta de Plástico";"1";"250";"15 dias úteis";"0";"1.95";"487.50";"0.00"
"40";"18";"100";"Pen drive giratório 2gb";"1";"100";"10 dias úteis";"0";"28.62";"2862.00";"0.00"
"41";"19";"2";"Chaveiro retângular giratório";"1";"300";"10 dias úteis";"0";"4.71";"1413.00";"0.00"
"42";"19";"3";"Chaveiro redondo giratório";"1";"300";"10 dias úteis";"0";"4.71";"1413.00";"0.00"
"43";"19";"4";"Chaveiro gota";"1";"300";"10 dias úteis";"0";"4.09";"1227.00";"0.00"
"44";"19";"5";"Chaveiro retângular";"1";"300";"10 dias úteis";"0";"3.70";"1110.00";"0.00"
"45";"20";"100";"Pen drive giratório 2gb";"1";"25";"10 dias úteis";"0";"34.89";"872.25";"0.00"
"46";"20";"33";"Caneta de Metal";"1";"50";"10 dias úteis";"0";"7.26";"363.00";"0.00"
"47";"20";"7";"Chaveiro anzol";"1";"50";"15 dias úteis";"0";"3.21";"160.50";"0.00"
"48";"20";"113";"Squeeze de metal";"1";"50";"10 dias úteis";"0";"13.55";"677.50";"0.00"
"49";"21";"54";"Caneta de Plástico";"1";"500";"15 dias úteis";"0";"0.68";"340.00";"0.00"
"50";"21";"55";"Caneta de Plástico";"1";"500";"15 dias úteis";"0";"0.68";"340.00";"0.00"
"51";"21";"58";"Caneta de Plástico";"1";"500";"15 dias úteis";"0";"0.74";"370.00";"0.00"
"52";"22";"7";"Chaveiro anzol";"2";"200";"15 dias úteis";"0";"1.33";"266.76";"0.00"
